Date,Tweet,City,Country
2023-02-24 07:25:16+00:00,That NEW BING! 😍 #chatgpt #bing https://t.co/k4KBRbuZLY,Benoni,South Africa
2023-02-24 05:54:58+00:00,AI is not as intelligent as you may think. It can frustrate you on somedays. Be careful. #ai #chatGPT,Kampala,Uganda
2023-02-24 05:26:53+00:00,"Waiting for Google to get its act together feels like being in a one-sided relationship with a married man, while Microsoft is the supportive friend who always has my back. @Google @Microsoft #AI #ChatGPT #berd #DataScience #MachineLearning #Software #DataVisualization https://t.co/JU4fRXbspv",Kampala,Uganda
2023-02-23 20:03:59+00:00,Remember Courage the cowardly dog’s computer? That’s just #ChatGPT now if we’re being honest! https://t.co/hDof1F4FYs,Johannesburg,South Africa
2023-02-23 18:25:58+00:00,@thekatcopy How are you leveraging Ai cuz #ChatGPT will take your job 😢,Anambra,Nigeria
2023-02-23 17:46:19+00:00,"I just spent 14 hrs 45 minutes on a simple web scraping tool using ChatGPT. 
For a seasoned developer, that could probably be 30 mins of work, maybe 1 hr. But I am not a developer, I am a finance person who likes to dabble.

#ChatGPT",Gaborone,Botswana
2023-02-23 17:29:23+00:00,Got an MSc student using #chatGPT in writing a proposal. Which is the best punishment?,Egerton University,Kenya
2023-02-23 16:51:45+00:00,"Like most entrepreneurs, the capital they had collected for four years didn't include money for marketing and business promotion.
 That ""medical centres are not allowed to do marketing""
#MUNBAR #ChatGPT #Chameleon 
#lugogo",Mbale City,Uganda
2023-02-23 16:44:01+00:00,"I have been using Chat GPT for two days now.

#womenintech #ChatGPT",Nairobi,Kenya
2023-02-23 16:42:36+00:00,"Some entrepreneurs reported to have  spent four years planning for their medical entity-i later found out they were referring to how long it took them to raise capital 
#ChatGPT #ManchesterUnited #MUNBAR #serere #lugogo",Mbale City,Uganda
2023-02-23 14:48:51+00:00,"Check this article out from #ChatGPT enlightening the EdUniLend community about #AI and #Web3.

#UniLend",Lagos,Nigeria
2023-02-23 14:14:11+00:00,Real amazing #ChatGPT Tried it on many topics and happy with it @OpenAI  this nice https://t.co/JkuVJlMudq,Cairo,Egypt
2023-02-23 14:06:54+00:00,"say what you will about #ChatGPT , but that bad boy can document code🙌🏾",Nairobi,Kenya
2023-02-23 12:59:21+00:00,"My recent article on @hackernoon discusses how human bias in #chatbots like #ChatGPT and others can lead to social disruption. 
 
#ArtificialIntelligence #Ai #techtwitter
#technology https://t.co/sE8nSCEAZa",Kwara & Plateau,Nigeria
