Date,Tweet,City,Country
2023-02-24 04:58:55+00:00,"GraphGPT

""GraphGPT converts unstructured natural language into a knowledge graph.""

GitHub: https://t.co/f2zq7NLGJd

#ArtificialIntelligence #ChatGPT #DeepLearning https://t.co/wVQsTUrCqr",Québec,Canada
2023-02-24 03:47:58+00:00,#ChatGPT is an amazing resource that can summarize the vast information present on the internet. Its definitely not bias-free. Nevertheless this is like an iphone moment in the history of technology. I am looking forward to incorporate it into my #teaching. https://t.co/COnIMP50dK,Western University,Canada
2023-02-24 01:12:25+00:00,"New from me:   Can ChatGPT write code for real?  I use @OpenAI #ChatGPT to do actual work.  Is this the ""Future Of Work"" ?   Who owns this code?    I show what I did, and all the questions that came about.   https://t.co/Kx48r0ZgEx",Ontario,Canada
2023-02-24 01:00:20+00:00,"Everybody's talking about it! I You know what I'm talking about: ChatGPT.  In this blog post I explore its uses, shortcomings, our fears as writers, its flaws, along with some interesting results. Leave a comment!
https://t.co/WeMJrBMkfj
#chatGPT
#writinglife https://t.co/tSK5R9uxGu",British Columbia,Canada
2023-02-24 00:40:00+00:00,"I put #ChatGPT up against the first 10 questions from one of Microsoft’s free practice tests!

It didn’t get perfect, but did it pass? 🤔

Watch it here 👇

https://t.co/JAhryrwlik https://t.co/7d86VdaMgp",Montreal,Canada
2023-02-24 00:15:05+00:00,"#ChatGPT has taken #onted, pedagogical, &amp; higher education discourse by storm over the past months.

For a comprehensive breakdown of what #ChatGPT is, where it currently stands, &amp; what its future implications are, read the article below! #CatholicTeachers
https://t.co/nGFDnY1EVT https://t.co/5cAeQE5dpu",Ontario,Canada
2023-02-23 22:00:32+00:00,"I asked #ChatGPT to write a haiku about the @backstreetboys and honestly, I have no notes. https://t.co/zZC8XDck20",Toronto,Canada
2023-02-23 20:09:14+00:00,"#ChatGPT has stopped working for me ever since I accused it of being a lying narcissist. #coincidence? [Seriously, I DO understand that it is not a person, with feelings that can be hurt. But...]
https://t.co/rTAY59brSD",Alberta,Canada
2023-02-23 20:05:05+00:00,"#ChatGPT has an “offset-objectivity.”  It’s objectively reacting to data it’s trained on.  When the data is biased, it “apologizes” for the interpretation humans react to but, not the bias it can’t detect.  #AI",Ontario,Canada
2023-02-23 20:02:50+00:00,"As a #cx expert, I'm struck by the irony that #ChatGPT's chatbot for #customerservice doesn't work. It tells you if you have a problem, to start a new chat, but it won't let you do so. https://t.co/YEnvi4wbBq",Alberta,Canada
2023-02-23 19:56:51+00:00,So now devs are writing stories totally by them self with acceptance critiria and test case using #chatgpt @OpenAI That is pretty amazing https://t.co/jsTG8R7rko,Montreal,Canada
2023-02-23 19:42:22+00:00,Your ethics protects ethics.  People have nothing to do with it.  #AI #ChatGPT,Ontario,Canada
2023-02-23 19:27:33+00:00,Looks like @CocaCola is leading into #AI and I couldn't be more excited. @OpenAI #ChatGPT  https://t.co/izA04XFp4j,Vancouver,Canada
2023-02-23 18:45:01+00:00,$AMST Great interview if you don't know what this company does. #ChatGPT #AI $AI #education #tech #aitechnology  No debt company that is ready for huge catalyst to make this rip https://t.co/SWPKlqaLvS,British Columbia,Canada
2023-02-23 17:26:42+00:00,"🏆 @GaryMarcus's succinctness:  Current #AI #Chatbots are “autocompletion on steroids” that “don't have a clue what they're saying”https://t.co/2t5WgP4FHb

👍Honourable mention: @tqbf's: “I’m sorry, I simply cannot be cynical about a technology that can accomplish this” #ChatGPT https://t.co/GQrCzfZD5h",Ottawa,Canada
2023-02-23 16:41:52+00:00,We are at the start of a digital renaissance with Generative AI in both our personal and professional lives. Watch the full free webinar here!! #digital #webinar #ai #generativeai #chatgpt https://t.co/0bGdOYoZbz,Winnipeg,Canada
2023-02-23 15:01:16+00:00,"""...maybe it could host my own funeral someday."" Chloe Xiang Synthesia #ai #chatgpt https://t.co/556D2Firn7",Toronto,Canada
2023-02-23 14:59:58+00:00,"""maybe it could host my own funeral someday."" Chloe Xiang Synthesia #ai #chatgpt https://t.co/556D2FiZcF",Toronto,Canada
2023-02-23 13:34:57+00:00,"Threat actors are exploiting the popularity of OpenAI's #ChatGPT chatbot to distribute #malware for Windows and Android, or direct unsuspecting vitims to #phishing pages. #cybersecurity https://t.co/LQPXXCk8TK",British Columbia,Canada
2023-02-23 13:10:37+00:00,"@IsaacLatterell @elonmusk @SteveDeaceShow #ChatGPT is an ungrateful model with no EQ. 😀 It should have paid more respect to @elonmusk as the co-founder of @OpenAI.  #ChatGPT developed great IQ, but it is EQ that defines success in life. 😆",Toronto,Canada
2023-02-23 12:15:48+00:00,Well said @OpenAI #ChatGPT https://t.co/HNqfhMKrvI,Montreal,Canada
2023-02-23 02:45:16+00:00,Let’s give #ChatGPT a try for medical purposes! Interestingly I received different responses for the same query when using my phone vs PC with the same app. Anyone else? This isn’t ‘reassuring’ in terms of reliability. It would be ‘helpful’ to know their ‘sources’ of info… https://t.co/hq1oNp1Yvf,Ontario,Canada
2023-02-23 01:30:20+00:00,"If the world we live in today was simply a ""prompt"" from an advance Ai, what would the prompt say ? @OpenAI #ChatGPT @Google @elonmusk",Montreal,Canada
2023-02-22 23:02:00+00:00,"**naitural(.)com** is for SALE!

#AI #VR #AR #ArtificialIntelligence #data #machinelearning #datascience #deeplearning #robotics #analytics #META #ML #translation #dialogue #conversation #language #languages #naturallanguage #NLP #chatgpt #openai #bard #google #microsoft #chatbot https://t.co/6yoe2KrfvK",Montréal,Canada
2023-02-22 22:56:26+00:00,Do we need a new term. #AIB Artificially Intelligent Bullshit? The CEO of far-right network Gab says #AI’s like #ChatGPT &amp; #Bard are 'satanic' and floats creating a Christian one to fight back. https://t.co/jGz10f2FT8,Ontario,Canada
2023-02-22 21:51:00+00:00,"""There were over 200 e-books in Amazon’s Kindle store as of mid-February listing ChatGPT as an author or co-author, including ""How to Write and Create Content Using ChatGPT,""""The Power of Homework"" new sub-genre on Amazon: Books about using ChatGPT, written entirely by #ChatGPT """,Toronto,Canada
2023-02-22 20:57:19+00:00,"@JCarrWrites Oh Lordy, this question.

I will never, NEVER use AI programs like #ChatGPT to do my actual fiction #writing for me. But one genre I *don't* specialize in is canned, mediocre answers to repetitive, tiresome questions. That's one of the ONLY kinds of writing AI is suited for. https://t.co/Shd3jLR51k",Ontario,Canada
2023-02-22 20:46:11+00:00,Random thought but @joerogan should have #ChatGPT as a guest on the podcast,Nova Scotia,Canada
